Date,All Water Level
1/1/2008,452.84136
1/2/2008,453.20712
1/3/2008,453.60336
1/4/2008,454.152
1/5/2008,454.51776
1/6/2008,454.42632
1/7/2008,454.73112
1/8/2008,455.24928
1/9/2008,455.73696
1/10/2008,456.16368
1/11/2008,456.5904
1/12/2008,456.86472
1/13/2008,456.68184
1/14/2008,456.86472
1/15/2008,457.16952
1/16/2008,457.47432
1/17/2008,457.8096
1/18/2008,458.20584
1/19/2008,458.29728
1/20/2008,458.08392
1/21/2008,457.90104
1/22/2008,458.14488
1/23/2008,458.44968
1/24/2008,458.66304
1/25/2008,458.63256
1/26/2008,458.51064
1/27/2008,458.54112
1/28/2008,458.96784
1/29/2008,459.27264
1/30/2008,459.42504
1/31/2008,459.36408
2/1/2008,459.24216
2/2/2008,459.15072
2/3/2008,459.05928
2/4/2008,459.27264
2/5/2008,459.39456
2/6/2008,459.21168
2/7/2008,459.30312
2/8/2008,459.1812
2/9/2008,459.08976
2/10/2008,459.1812
2/11/2008,459.27264
2/12/2008,459.12024
2/13/2008,458.96784
2/14/2008,458.81544
2/15/2008,458.60208
2/16/2008,458.38872
2/17/2008,458.14488
2/18/2008,458.1144
2/19/2008,458.35824
2/20/2008,458.54112
2/21/2008,459.05928
2/22/2008,459.54696
2/23/2008,459.57744
2/24/2008,459.486
2/25/2008,459.57744
2/26/2008,459.91272
2/27/2008,460.12608
2/28/2008,460.21752
2/29/2008,460.18704
3/1/2008,460.06512
3/2/2008,459.91272
3/3/2008,459.76032
3/4/2008,459.57744
3/5/2008,459.42504
3/6/2008,459.36408
3/7/2008,459.15072
3/8/2008,458.93736
3/9/2008,458.75448
3/10/2008,458.29728
3/11/2008,458.08392
3/12/2008,457.87056
3/13/2008,457.59624
3/14/2008,457.3524
3/15/2008,457.13904
3/16/2008,456.8952
3/17/2008,456.68184
3/18/2008,456.438
3/19/2008,456.19416
3/20/2008,456.1332
3/21/2008,456.1332
3/22/2008,456.2856
3/23/2008,456.04176
3/24/2008,455.79792
3/25/2008,455.55408
3/26/2008,455.31024
3/27/2008,455.0664
3/28/2008,454.82256
3/29/2008,454.54824
3/30/2008,454.27392
3/31/2008,453.9996
4/1/2008,453.6948
4/2/2008,453.45096
4/3/2008,453.20712
4/4/2008,453.02424
4/5/2008,453.0852
4/6/2008,453.14616
4/7/2008,453.32904
4/8/2008,453.81672
4/9/2008,454.21296
4/10/2008,454.54824
4/11/2008,454.85304
4/12/2008,454.88352
4/13/2008,454.67016
4/14/2008,454.42632
4/15/2008,454.152
4/16/2008,454.24344
4/17/2008,454.67016
4/18/2008,454.914
4/19/2008,454.79208
4/20/2008,454.54824
4/21/2008,454.3044
4/22/2008,454.6092
4/23/2008,455.09688
4/24/2008,455.58456
4/25/2008,455.73696
4/26/2008,455.91984
4/27/2008,455.91984
4/28/2008,456.07224
4/29/2008,456.438
4/30/2008,456.80376
5/1/2008,457.16952
5/2/2008,457.56576
5/3/2008,457.47432
5/4/2008,457.3524
5/5/2008,457.23048
5/6/2008,457.62672
5/7/2008,458.08392
5/8/2008,458.44968
5/9/2008,458.69352
5/10/2008,458.75448
5/11/2008,458.66304
5/12/2008,458.75448
5/13/2008,459.05928
5/14/2008,459.1812
5/15/2008,459.42504
5/16/2008,459.54696
5/17/2008,459.54696
5/18/2008,459.36408
5/19/2008,459.39456
5/20/2008,459.42504
5/21/2008,459.24216
5/22/2008,459.30312
5/23/2008,459.486
5/24/2008,459.3336
5/25/2008,459.12024
5/26/2008,458.99832
5/27/2008,458.96784
5/28/2008,458.66304
5/29/2008,458.60208
5/30/2008,458.54112
5/31/2008,458.23632
6/1/2008,457.962
6/2/2008,458.05344
6/3/2008,458.32776
6/4/2008,458.17536
6/5/2008,458.2668
6/6/2008,458.20584
6/7/2008,457.90104
6/8/2008,457.62672
6/9/2008,457.6572
6/10/2008,457.90104
6/11/2008,458.08392
6/12/2008,458.29728
6/13/2008,458.5716
6/14/2008,458.23632
6/15/2008,457.962
6/16/2008,458.02296
6/17/2008,458.2668
6/18/2008,458.51064
6/19/2008,458.724
6/20/2008,458.90688
6/21/2008,458.75448
6/22/2008,458.48016
6/23/2008,458.63256
6/24/2008,458.78496
6/25/2008,458.81544
6/26/2008,458.90688
6/27/2008,458.60208
6/28/2008,458.29728
6/29/2008,458.02296
6/30/2008,458.14488
7/1/2008,458.35824
7/2/2008,458.32776
7/3/2008,458.32776
7/4/2008,458.2668
7/5/2008,457.962
7/6/2008,457.8096
7/7/2008,457.59624
7/8/2008,458.1144
7/9/2008,458.35824
7/10/2008,458.2668
7/11/2008,457.962
7/12/2008,457.6572
7/13/2008,457.5048
7/14/2008,457.962
7/15/2008,458.29728
7/16/2008,458.38872
7/17/2008,458.44968
7/18/2008,458.69352
7/19/2008,458.44968
7/20/2008,458.14488
7/21/2008,458.23632
7/22/2008,458.44968
7/23/2008,458.66304
7/24/2008,458.84592
7/25/2008,459.05928
7/26/2008,458.75448
7/27/2008,458.48016
7/28/2008,458.63256
7/29/2008,458.93736
7/30/2008,459.12024
7/31/2008,459.30312
8/1/2008,459.42504
8/2/2008,459.21168
8/3/2008,458.93736
8/4/2008,459.12024
8/5/2008,459.12024
8/6/2008,459.05928
8/7/2008,459.30312
8/8/2008,459.30312
8/9/2008,458.99832
8/10/2008,458.724
8/11/2008,458.78496
8/12/2008,458.90688
8/13/2008,459.0288
8/14/2008,459.12024
8/15/2008,459.0288
8/16/2008,458.724
8/17/2008,458.4192
8/18/2008,458.48016
8/19/2008,458.5716
8/20/2008,458.63256
8/21/2008,458.69352
8/22/2008,458.69352
8/23/2008,458.69352
8/24/2008,458.14488
8/25/2008,458.14488
8/26/2008,458.1144
8/27/2008,458.20584
8/28/2008,458.2668
8/29/2008,458.5716
8/30/2008,458.29728
8/31/2008,457.99248
9/1/2008,457.93152
9/2/2008,457.93152
9/3/2008,458.1144
9/4/2008,458.17536
9/5/2008,458.29728
9/6/2008,457.962
9/7/2008,457.71816
9/8/2008,457.6572
9/9/2008,457.8096
9/10/2008,457.93152
9/11/2008,458.05344
9/12/2008,458.14488
9/13/2008,457.84008
9/14/2008,457.56576
9/15/2008,457.29144
9/16/2008,457.01712
9/17/2008,456.7428
9/18/2008,456.46848
9/19/2008,456.22464
9/20/2008,455.95032
9/21/2008,455.676
9/22/2008,455.40168
9/23/2008,455.15784
9/24/2008,454.85304
9/25/2008,454.57872
9/26/2008,454.27392
9/27/2008,453.96912
9/28/2008,453.6948
9/29/2008,453.6948
9/30/2008,453.6948
10/1/2008,453.39
10/2/2008,453.42048
10/3/2008,453.39
10/4/2008,453.0852
10/5/2008,452.7804
10/6/2008,452.7804
10/7/2008,452.7804
10/8/2008,452.81088
10/9/2008,452.7804
10/10/2008,452.7804
10/11/2008,452.4756
10/12/2008,452.14032
10/13/2008,451.80504
10/14/2008,451.65264
10/15/2008,451.28688
10/16/2008,451.31736
10/17/2008,451.01256
10/18/2008,450.67728
10/19/2008,450.342
10/20/2008,450.00672
10/21/2008,449.97624
10/22/2008,449.67144
10/23/2008,449.58
10/24/2008,449.36664
10/25/2008,449.03136
10/26/2008,448.69608
10/27/2008,448.3608
10/28/2008,448.2084
10/29/2008,447.84264
10/30/2008,447.78168
10/31/2008,447.56832
11/1/2008,447.26352
11/2/2008,446.95872
11/3/2008,447.11112
11/4/2008,447.26352
11/5/2008,447.41592
11/6/2008,447.5988
11/7/2008,447.69024
11/8/2008,447.41592
11/9/2008,447.17208
11/10/2008,447.23304
11/11/2008,446.95872
11/12/2008,447.1416
11/13/2008,447.294
11/14/2008,447.53784
11/15/2008,447.26352
11/16/2008,446.9892
11/17/2008,447.20256
11/18/2008,447.11112
11/19/2008,446.80632
11/20/2008,446.8368
11/21/2008,447.08064
11/22/2008,447.05016
11/23/2008,446.71488
11/24/2008,447.20256
11/25/2008,447.65976
11/26/2008,447.93408
11/27/2008,448.54368
11/28/2008,449.00088
11/29/2008,449.1228
11/30/2008,448.87896
12/1/2008,448.6656
12/2/2008,448.818
12/3/2008,448.87896
12/4/2008,448.84848
12/5/2008,449.1228
12/6/2008,449.2752
12/7/2008,449.06184
12/8/2008,449.18376
12/9/2008,449.4276
12/10/2008,449.54952
12/11/2008,449.79336
12/12/2008,450.15912
12/13/2008,449.94576
12/14/2008,449.7324
12/15/2008,450.0372
12/16/2008,450.31152
12/17/2008,450.12864
12/18/2008,450.43344
12/19/2008,450.55536
12/20/2008,450.37248
12/21/2008,450.22008
12/22/2008,450.0372
12/23/2008,450.31152
12/24/2008,450.15912
12/25/2008,450.0372
12/26/2008,450.28104
12/27/2008,450.12864
12/28/2008,450.0372
12/29/2008,450.342
12/30/2008,450.12864
12/31/2008,450.37248
1/1/2009,450.1896
1/2/2009,450.4944
1/3/2009,450.82968
1/4/2009,450.6468
1/5/2009,450.86016
1/6/2009,450.6468
1/7/2009,450.46392
1/8/2009,450.55536
1/9/2009,450.31152
1/10/2009,450.43344
1/11/2009,450.22008
1/12/2009,450.31152
1/13/2009,450.09816
1/14/2009,450.22008
1/15/2009,450.37248
1/16/2009,450.46392
1/17/2009,450.58584
1/18/2009,450.40296
1/19/2009,450.25056
1/20/2009,450.43344
1/21/2009,450.52488
1/22/2009,450.6468
1/23/2009,451.01256
1/24/2009,450.82968
1/25/2009,450.6468
1/26/2009,450.76872
1/27/2009,450.9516
1/28/2009,451.01256
1/29/2009,451.34784
1/30/2009,451.59168
1/31/2009,451.46976
2/1/2009,451.2564
2/2/2009,451.07352
2/3/2009,451.28688
2/4/2009,451.46976
2/5/2009,451.62216
2/6/2009,451.92696
2/7/2009,451.77456
2/8/2009,451.59168
2/9/2009,451.77456
2/10/2009,452.04888
2/11/2009,451.80504
2/12/2009,451.95744
2/13/2009,452.35368
2/14/2009,452.23176
2/15/2009,452.10984
2/16/2009,452.41464
2/17/2009,452.90232
2/18/2009,452.7804
2/19/2009,453.17664
2/20/2009,453.42048
2/21/2009,453.32904
2/22/2009,453.20712
2/23/2009,453.57288
2/24/2009,454.12152
2/25/2009,454.12152
2/26/2009,454.54824
2/27/2009,454.85304
2/28/2009,454.85304
3/1/2009,454.79208
3/2/2009,455.12736
3/3/2009,455.12736
3/4/2009,455.40168
3/5/2009,455.5236
